date,time,origin,destination,total_count
2018-02-2,06:00:00,AM,NV,424
2018-02-2,06:00:00,AM,OR,176
2018-02-2,06:00:00,AM,OT,182
2018-02-2,06:00:00,AM,PG,69
2018-02-2,06:00:00,AM,PL,93
2018-02-2,06:00:00,AM,PN,153
2018-02-2,06:00:00,AM,PR,115
2018-02-2,06:00:00,AM,QT,621
2018-02-2,06:00:00,AM,RC,136
2018-02-2,06:00:00,AM,RV,54
2018-02-2,06:00:00,AM,SB,251
2018-02-2,06:00:00,AM,SE,248
2018-02-2,06:00:00,AM,SG,1134
2018-02-2,06:00:00,AM,SI,50
2018-02-2,06:00:00,AM,SK,90
2018-02-2,06:00:00,AM,SL,40
2018-02-2,06:00:00,AM,SM,40
2018-02-2,06:00:00,AM,SR,85
2018-02-2,06:00:00,AM,SV,40
2018-02-2,06:00:00,AM,TM,335
2018-02-2,06:00:00,AM,TN,93
2018-02-2,06:00:00,AM,TP,419
2018-02-2,06:00:00,AM,TS,186
2018-02-2,06:00:00,AM,WC,88
2018-02-2,06:00:00,AM,WD,305
2018-02-2,06:00:00,AM,WI,62
2018-02-2,06:00:00,AM,YS,500
2018-02-2,07:00:00,AM,AM,5199
2018-02-2,07:00:00,AM,BD,375
2018-02-2,07:00:00,AM,BK,151
2018-02-2,07:00:00,AM,BL,74
2018-02-2,07:00:00,AM,BM,756
2018-02-2,07:00:00,AM,BP,66
2018-02-2,07:00:00,AM,BS,1148
2018-02-2,07:00:00,AM,BT,244
2018-02-2,07:00:00,AM,CB,40
2018-02-2,07:00:00,AM,CC,40
2018-02-2,07:00:00,AM,CH,315
2018-02-2,07:00:00,AM,CK,122
2018-02-2,07:00:00,AM,CL,139
2018-02-2,07:00:00,AM,DT,1820
2018-02-2,07:00:00,AM,GL,659
2018-02-2,07:00:00,AM,HG,574
2018-02-2,07:00:00,AM,JE,286
2018-02-2,07:00:00,AM,JW,177
2018-02-2,07:00:00,AM,KL,512
2018-02-2,07:00:00,AM,LK,40
2018-02-2,07:00:00,AM,MD,40
2018-02-2,07:00:00,AM,ME,40
2018-02-2,07:00:00,AM,MP,82
2018-02-2,07:00:00,AM,MS,40
2018-02-2,07:00:00,AM,MU,147
2018-02-2,07:00:00,AM,NA,40
2018-02-2,07:00:00,AM,NE,40
2018-02-2,07:00:00,AM,NT,139
2018-02-2,07:00:00,AM,NV,544
2018-02-2,07:00:00,AM,OR,390
2018-02-2,07:00:00,AM,OT,309
2018-02-2,07:00:00,AM,PG,89
2018-02-2,07:00:00,AM,PL,109
2018-02-2,07:00:00,AM,PN,100
2018-02-2,07:00:00,AM,PR,119
2018-02-2,07:00:00,AM,QT,915
2018-02-2,07:00:00,AM,RC,234
2018-02-2,07:00:00,AM,RV,76
2018-02-2,07:00:00,AM,SB,332
2018-02-2,07:00:00,AM,SE,292
2018-02-2,07:00:00,AM,SG,1488
2018-02-2,07:00:00,AM,SI,42
2018-02-2,07:00:00,AM,SK,158
2018-02-2,07:00:00,AM,SL,61
2018-02-2,07:00:00,AM,SM,40
2018-02-2,07:00:00,AM,SR,131
2018-02-2,07:00:00,AM,SV,40
2018-02-2,07:00:00,AM,TH,40
2018-02-2,07:00:00,AM,TM,506
2018-02-2,07:00:00,AM,TN,120
2018-02-2,07:00:00,AM,TP,691
2018-02-2,07:00:00,AM,TS,99
2018-02-2,07:00:00,AM,WC,112
2018-02-2,07:00:00,AM,WD,482
2018-02-2,07:00:00,AM,WI,40
