,date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count,key,driving,public,ratio,difference
12498,2/2/18,0:00:00,OR,ORCHARD,103.83358,1.30381,TN,TANGLIN,103.8175,1.30828,54,ORTN,9,25,2.78,16
12986,2/2/18,0:00:00,OT,OUTRAM,103.84206,1.28286,BM,BUKIT MERAH,103.82311,1.27548,103,OTBM,9,26,2.89,17
13010,2/2/18,0:00:00,OT,OUTRAM,103.84206,1.28286,DT,DOWNTOWN CORE,103.8543,1.28508,63,OTDT,5,17,3.40,12
13032,2/2/18,0:00:00,OT,OUTRAM,103.84206,1.28286,SR,SINGAPORE RIVER,103.84121,1.29011,45,OTSR,4,9,2.25,5
13525,2/2/18,0:00:00,PG,PUNGGOL,103.91004,1.40536,HG,HOUGANG,103.8898,1.36364,41,PGHG,13,29,2.23,16
13547,2/2/18,0:00:00,PG,PUNGGOL,103.91004,1.40536,PR,PASIR RIS,103.9483,1.37862,45,PGPR,8,32,4.00,24
13569,2/2/18,0:00:00,PG,PUNGGOL,103.91004,1.40536,SE,SENGKANG,103.8877,1.39127,65,PGSE,9,29,3.22,20
13593,2/2/18,0:00:00,PG,PUNGGOL,103.91004,1.40536,SL,SELETAR,103.87709,1.41434,90,PGSL,9,52,5.78,43
14008,2/2/18,0:00:00,PL,PAYA LEBAR,103.91477,1.35939,HG,HOUGANG,103.8898,1.36364,109,PLHG,9,53,5.89,44
14032,2/2/18,0:00:00,PL,PAYA LEBAR,103.91477,1.35939,TM,TAMPINES,103.95422,1.34373,58,PLTM,15,62,4.13,47
14516,2/2/18,0:00:00,PR,PASIR RIS,103.9483,1.37862,BD,BEDOK,103.92841,1.32405,58,PRBD,16,25,1.56,9
14539,2/2/18,0:00:00,PR,PASIR RIS,103.9483,1.37862,CH,CHANGI,103.99782,1.35081,59,PRCH,6,50,8.33,44
14563,2/2/18,0:00:00,PR,PASIR RIS,103.9483,1.37862,TM,TAMPINES,103.95422,1.34373,142,PRTM,6,30,5.00,24
