origin,destination,road,public
CENTRAL WATER CATCHMENT,BUKIT BATOK,15,53
CENTRAL WATER CATCHMENT,BUKIT MERAH,16,46
CENTRAL WATER CATCHMENT,BUKIT PANJANG,16,62
CENTRAL WATER CATCHMENT,BUKIT TIMAH,9,28
CENTRAL WATER CATCHMENT,CHANGI,20,115
CENTRAL WATER CATCHMENT,CHANGI BAY,1000,115
CENTRAL WATER CATCHMENT,CHOA CHU KANG,21,71
CENTRAL WATER CATCHMENT,CLEMENTI,14,48
CENTRAL WATER CATCHMENT,DOWNTOWN CORE,16,61
CENTRAL WATER CATCHMENT,GEYLANG,16,55
CENTRAL WATER CATCHMENT,HOUGANG,13,58
CENTRAL WATER CATCHMENT,JURONG EAST,19,61
CENTRAL WATER CATCHMENT,JURONG WEST,24,74
CENTRAL WATER CATCHMENT,KALLANG,13,63
CENTRAL WATER CATCHMENT,LIM CHU KANG,27,113
CENTRAL WATER CATCHMENT,MANDAI,20,56
CENTRAL WATER CATCHMENT,MARINA EAST,21,71
CENTRAL WATER CATCHMENT,MARINA SOUTH,18,77
CENTRAL WATER CATCHMENT,MARINE PARADE,14,72
CENTRAL WATER CATCHMENT,MUSEUM,14,55
CENTRAL WATER CATCHMENT,NEWTON,12,45
CENTRAL WATER CATCHMENT,NORTH-EASTERN ISLANDS,1000,45
CENTRAL WATER CATCHMENT,NOVENA,8,42
CENTRAL WATER CATCHMENT,ORCHARD,12,50
CENTRAL WATER CATCHMENT,OUTRAM,14,58
CENTRAL WATER CATCHMENT,PASIR RIS,19,89
CENTRAL WATER CATCHMENT,PAYA LEBAR,13,70
CENTRAL WATER CATCHMENT,PIONEER,16,61
CENTRAL WATER CATCHMENT,PUNGGOL,17,76
CENTRAL WATER CATCHMENT,QUEENSTOWN,1000,76
CENTRAL WATER CATCHMENT,RIVER VALLEY,16,59
CENTRAL WATER CATCHMENT,ROCHOR,11,46
CENTRAL WATER CATCHMENT,SELETAR,12,83
CENTRAL WATER CATCHMENT,SEMBAWANG,24,59
CENTRAL WATER CATCHMENT,SENGKANG,19,70
CENTRAL WATER CATCHMENT,SERANGOON,9,49
CENTRAL WATER CATCHMENT,SIMPANG,1000,49
CENTRAL WATER CATCHMENT,SINGAPORE RIVER,17,65
CENTRAL WATER CATCHMENT,SOUTHERN ISLANDS,15,69
CENTRAL WATER CATCHMENT,STRAITS VIEW,17,53
CENTRAL WATER CATCHMENT,SUNGEI KADUT,17,60
CENTRAL WATER CATCHMENT,TAMPINES,20,78
CENTRAL WATER CATCHMENT,TANGLIN,11,56
CENTRAL WATER CATCHMENT,TENGAH,1000,56
CENTRAL WATER CATCHMENT,TOA PAYOH,8,46
CENTRAL WATER CATCHMENT,TUAS,33,120
CENTRAL WATER CATCHMENT,WESTERN ISLANDS,1000,120
CENTRAL WATER CATCHMENT,WESTERN WATER CATCHMENT,25,90
CENTRAL WATER CATCHMENT,WOODLANDS,21,66
CENTRAL WATER CATCHMENT,YISHUN,20,52
CHANGI,ANG MO KIO,25,85
CHANGI,BEDOK,12,46
CHANGI,BISHAN,27,86
CHANGI,BOON LAY,35,122
CHANGI,BUKIT BATOK,31,103
CHANGI,BUKIT MERAH,21,80
CHANGI,BUKIT PANJANG,32,111
CHANGI,BUKIT TIMAH,25,95
CHANGI,CENTRAL WATER CATCHMENT,23,105
CHANGI,CHANGI BAY,1000,105
CHANGI,CHOA CHU KANG,37,105
CHANGI,CLEMENTI,29,85
CHANGI,DOWNTOWN CORE,20,71
CHANGI,GEYLANG,21,63
CHANGI,HOUGANG,18,56
CHANGI,JURONG EAST,33,90
CHANGI,JURONG WEST,40,102
CHANGI,KALLANG,20,62
CHANGI,LIM CHU KANG,38,151
CHANGI,MANDAI,26,87
